Name,season_len,_wandb,diversities,,,,,,
season_len: 50,50,,0.037563968,,a,b,c,d,e
season_len: 50,50,,0.026758458,,50,10,500,1000,5000
season_len: 50,50,,0.002865758,,0.037563968,98.69112396,2773.171143,856.5518799,96975.1875
season_len: 100,100,,98.69112396,,0.026758458,38.14994431,1993.986572,619.5565186,73366.97656
season_len: 100,100,,38.14994431,,0.002865758,0.006969833,2512.393555,3745.252197,53642.33984
season_len: 50,50,,0.002961977,,0.002961977,0.383196533,1580.907715,4483.179688,15738.04102
season_len: 100,100,,0.006969833,,0.23561582,11.37700081,1598.475708,20895.03516,116712.3828
season_len: 1000,1000,,856.5518799,,,,,,
season_len: 1000,1000,,619.5565186,,,,,,
season_len: 100,100,,0.383196533,,,,,,
season_len: 5000,5000,,96975.1875,,,,,,
season_len: 5000,5000,,73366.97656,,,,,,
season_len: 5000,5000,,53642.33984,,,,,,
season_len: 500,500,,2773.171143,,,,,,
season_len: 1000,1000,,3745.252197,,,,,,
season_len: 500,500,,1993.986572,,,,,,
season_len: 1000,1000,,4483.179688,,,,,,
season_len: 500,500,,2512.393555,,,,,,
season_len: 5000,5000,,15738.04102,,,,,,
season_len: 1000,1000,,20895.03516,,,,,,
season_len: 50,50,,0.23561582,,,,,,
season_len: 5000,5000,,116712.3828,,,,,,
season_len: 500,500,,1580.907715,,,,,,
season_len: 500,500,,1598.475708,,,,,,
season_len: 100,100,,11.37700081,,,,,,